t,a
1037,-40.24701923076924
1038,-72.807644230769228
1039,-107.12956730769235
1040,-103.28661858974361
1041,-50.569983974358991
1042,-45.675336538461522
1043,-36.676650641025638
1044,-30.094727564102559
1045,-0.44421474358973378
1046,11.999887820512795
1047,26.242163461538468
1048,38.05123397435905
1049,42.336810897435939
1050,21.789198717948711
1051,-29.871858974358975
1052,-45.5728205128205
1053,-54.575432692307743
1054,-52.979775641025604
1055,-57.3245512820513
1056,-50.2253205128205
1057,-67.440080128205167
1058,-79.042724358974368
1059,-70.900096153846164
1060,-56.063605769230804
1061,-42.912596153846124
1062,-43.156298076923093
1063,-21.502500000000008
1064,-11.024791666666649
1065,-16.290288461538484
1066,-18.760624999999951
1067,-39.118012820512753
1068,-59.50328525641028
1069,-58.388253205128194
1070,-38.700769230769296
1071,-18.948733974358991
1072,-28.01403846153848
1073,-61.704134615384454
1074,-61.416987179487215
1075,-40.82325320512809
1076,-19.915993589743572
1077,4.1432692307691994
1078,7.1169711538461025
1079,7.8212339743589609
1080,1.40915064102563
1081,-18.668221153846151
1082,-18.114118589743551
1083,-29.170625000000037
1084,-22.284134615384644
1085,6.99876602564102
1086,23.12525641025643
1087,26.729262820512833
1088,21.673541666666686
1089,-43.34206730769229
1090,-57.504935897435885
1091,-75.581778846153838
1092,-77.71062500000005
1093,-70.042115384615371
1094,-60.646554487179436
1095,-40.655416666666675
1096,-33.121955128205137
1097,-0.46243589743591534
1098,8.1456410256410088
1099,6.8508653846153882
1100,18.516362179487196
1101,37.675032051282059
1102,37.869150641025641
1103,5.1050801282051488
1104,-18.46097756410262
1105,-49.427596153846039
1106,-59.23871794871792
1107,-69.269246794871847
1108,-72.257003205128186
1109,-55.868573717948749
1110,-51.8819391025641
1111,-78.531137820512981
1112,-85.903862179487078
1113,-69.838766025641064
1114,-54.116266025641
1115,-21.41240384615384
1116,-13.493108974358934
1117,-13.326233974358972
1118,-23.233477564102529
1119,-46.054759615384562
1120,-35.82719551282046
1121,38.436923076923058
1122,46.011810897435915
1123,26.201426282051258
1124,12.483509615384639
1125,7.8932532051281887
1126,9.1336217948717788
1127,23.288092948717932
1128,24.744230769230736
1129,-19.216714743589737
1130,-45.496105769230809
1131,-77.048189102564109
1132,-87.971378205128218
1133,-68.539006410256391
1134,-67.417371794871741
1135,-44.644903846153873
1136,-17.540977564102572
1137,96.362211538461679
1138,122.53046474358975
1139,85.673221153846072
1140,57.688573717948735
1141,21.700512820512795
1142,0.88842948717947778
1143,-43.555608974359025
1144,-67.540048076923114
1145,-84.298557692307654
1146,-75.965224358974282
1147,-59.38293269230774
1148,-46.99179487179498
1149,-9.1491987179487388
1150,21.989375000000017
1151,96.9738782051282
1152,104.17057692307685
1153,60.918509615384714
1154,49.479423076923105
1155,33.760384615384623
1156,31.897804487179524
1157,1.1595032051281997
1158,-24.228141025641051
1159,-37.4971794871795
1160,-30.308766025641038
1161,1.748766025641018
1162,21.499342948717953
1163,66.322644230769129
1164,84.18923076923069
1165,77.8354807692308
1166,69.881458333333327
1167,41.524679487179469
1168,26.268285256410167
1169,16.479102564102529
1170,14.630737179487189
1171,26.546714743589707
1172,35.334631410256449
1173,57.16830128205131
1174,75.424711538461551
1175,88.983621794871823
1176,91.6148076923076
1177,81.771923076923045
1178,86.284743589743542
1179,103.81129807692305
1180,107.52044871794874
1181,126.60389423076936
1182,135.45588141025655
1183,113.40866987179493
1184,99.4284615384615
1185,74.834086538461563
1186,66.355464743589735
1187,55.730705128205116
1188,48.808493589743605
1189,37.558830128205123
1190,32.854262820512837
1191,18.023125000000004
1192,-3.4760737179487076
1193,-45.304326923076985
1194,-63.38743589743595
1195,-68.033910256410209
1196,-80.941217948717991
1197,-87.411923076923117
1198,-79.741314102564118
1199,-42.523733974359018
1200,-15.944150641025647
1201,21.171137820512815
1202,28.020977564102555
1203,20.901602564102571
1204,14.516153846153827
1205,-6.2827403846154333
1206,-28.310833333333289
1207,-81.819246794871688
1208,-103.70374999999991
1209,-100.2304487179488
1210,-87.939743589743529
1211,-79.661233974358993
1212,-61.198830128205188
1213,-10.945993589743631
1214,5.2746955128205117
1215,64.754487179487171
1216,106.21772435897439
1217,175.5344551282052
1218,162.55330128205128
1219,99.932676282051148
1220,66.506009615384514
1221,17.163814102564093
1222,7.5457532051282117
1223,-4.9753685897435949
1224,-9.3183653846154044
1225,21.675705128205067
1226,37.755448717948696
1227,56.116153846153843
1228,64.477195512820487
1229,70.550384615384587
1230,74.846730769230689
1231,98.975913461538582
1232,94.830769230769121
1233,30.294663461538455
1234,9.2845192307692521
1235,-19.515512820512825
1236,-40.3372435897436
1237,-59.708974358974366
1238,-53.204711538461552
1239,-37.615560897435934
1240,-34.273141025641038
1241,-30.163445512820545
1242,-23.626618589743558
1243,3.0781410256410169
1244,6.4279647435897225
1245,4.7979967948718079
1246,8.0687499999999979
1247,2.6472115384615487
1248,5.0951602564102734
1249,2.9031089743589718
1250,13.946923076923069
1251,16.274278846153791
1252,23.697884615384627
1253,28.785192307692302
1254,12.738205128205108
1255,-34.6166346153847
1256,-46.710977564102549
1257,-37.688782051282018
1258,-29.373237179487198
1259,-11.463493589743573
1260,-0.76817307692309611
1261,36.2194391025641
1262,51.426089743589706
1263,81.669679487179451
1264,102.68326923076914
1265,124.92642628205131
1266,112.05713141025652
1267,56.445512820512839
1268,37.914166666666652
1269,31.269038461538425
1270,29.322435897435859
1271,10.855673076923043
1272,-2.7511698717948954
1273,14.563942307692306
1274,46.145753205128216
1275,95.091233974358957
1276,110.79467948717955
1277,116.51942307692299
1278,104.71491987179482
1279,94.965544871794847
1280,87.746634615384536
1281,45.385400641025669
1282,23.7074358974359
1283,-18.024230769230758
1284,-25.527451923076907
1285,-46.023701923076878
1286,-60.691907051281952
1287,-54.742964743589752
1288,-33.391714743589766
1289,22.168461538461546
1290,37.512724358974374
1291,60.0936698717949
1292,72.329791666666679
1293,81.504391025641056
1294,87.050993589743541
1295,91.481346153846175
1296,81.987804487179389
1297,10.464182692307686
1298,-9.1944871794871581
1299,-20.028926282051295
1300,-19.971522435897448
1301,-8.74451923076922
1302,3.5019391025640902
1303,-10.315769230769227
1304,-27.62950320512822
1305,-51.883782051281962
1306,-56.885096153846114
1307,-68.089679487179623
1308,-56.633493589743608
1309,-31.303125000000044
1310,-15.326153846153844
1311,17.431554487179486
1312,30.704374999999995
1313,38.753253205128253
1314,60.907019230769279
1315,107.95054487179488
1316,100.03596153846154
1317,71.650865384615372
1318,53.169727564102594
1319,37.547708333333311
1320,36.125464743589745
1321,46.025528846153911
1322,59.053477564102572
1323,73.937740384615424
1324,66.187788461538389
1325,43.753733974359037
1326,32.60746794871794
1327,17.095208333333332
1328,18.867419871794858
1329,-23.789807692307697
1330,-34.356698717948682
1331,-37.83942307692309
1332,-30.577916666666688
1333,-12.704310897435917
1334,-20.617323717948686
1335,-61.644631410256437
1336,-81.129118589743641
1337,-74.96831730769226
1338,-56.349439102564077
1339,-40.369775641025676
1340,-42.901249999999962
1341,-68.696522435897464
1342,-85.242644230769258
1343,-104.26336538461548
1344,-115.62602564102569
1345,-114.28516025641019
1346,-98.808173076923026
1347,-71.602532051281955
1348,-52.153685897435857
1349,-13.761762820512832
1350,11.970256410256404
1351,55.303605769230806
1352,60.969455128205148
1353,44.520384615384643
1354,28.798237179487188
1355,12.846490384615409
1356,9.7244871794871859
1357,-9.7208814102564265
1358,-13.78560897435896
1359,-20.429118589743592
1360,-30.900801282051244
1361,-54.351490384615339
1362,-46.968749999999964
1363,5.8594871794871981
1364,33.909487179487222
1365,59.882163461538404
1366,60.293862179487192
1367,23.329503205128148
1368,9.9404807692307866
1369,4.5781730769231057
1370,6.1371153846154094
1371,6.0551762820512725
1372,-5.7376121794871811
1373,-42.63767628205121
1374,-55.722483974358944
1375,-77.466298076923039
1376,-65.977371794871729
1377,-25.733445512820484
1378,-11.352035256410268
1379,4.5825961538461915
1380,1.9156730769231283
1381,-6.292708333333322
1382,-9.296939102564032
1383,-9.5282692307692347
1384,-9.83387820512822
1385,-23.430016025641041
1386,-23.430592948717969
1387,-26.214054487179475
1388,-39.863637820512849
1389,-63.912516025640954
1390,-64.720833333333289
1391,-32.446891025641044
1392,9.8793910256410022
1393,103.47562499999994
1394,97.848814102564148
1395,44.022131410256421
1396,36.634679487179483
1397,41.052419871794882
1398,25.920641025641025
1399,-2.3167307692307917
1400,-10.313253205128181
1401,-30.190416666666671
1402,-45.098349358974353
1403,-44.814919871794856
1404,-19.098573717948717
1405,22.72099358974361
1406,22.438285256410271
1407,12.011105769230758
1408,4.41575320512822
1409,-25.44083333333332
1410,-40.829791666666651
1411,-51.692371794871811
1412,-49.507211538461512
1413,-65.6910576923077
1414,-69.2822916666667
1415,-42.321923076923071
1416,-27.638141025641033
1417,6.6163461538461528
1418,19.707916666666662
1419,27.430032051282055
1420,24.945737179487189
1421,22.94006410256409
1422,26.942307692307693
1423,3.9452564102563978
1424,-9.2948237179487077
1425,14.414166666666709
1426,23.489198717948707
1427,37.002980769230781
1428,44.035785256410271
1429,69.158221153846185
1430,75.812724358974336
1431,82.322163461538409
1432,89.182548076923112
1433,95.795240384615283
1434,81.446602564102577
1435,53.045128205128172
1436,41.809775641025709
1437,51.98900641025643
1438,66.235192307692259
1439,64.844310897435889
1440,57.398573717948729
1441,31.891266025641048
1442,16.228060897435917
1443,-9.1561057692307877
1444,-12.779695512820432
1445,-13.181858974358976
1446,-42.132339743589768
1447,-63.280865384615296
1448,-53.9847275641025
1449,-55.1893589743589
1450,-66.932740384615357
1451,-60.981217948718061
1452,-38.858493589743574
1453,7.4498717948717958
1454,13.211346153846149
1455,2.1192948717948719
1456,-5.9508974358974553
1457,-52.905977564102535
1458,-58.298926282051241
1459,-65.728269230769271
1460,-46.0052403846154
1461,-39.581474358974404
1462,-30.685945512820503
1463,-12.534727564102567
1464,-9.9538782051281931
1465,-4.2484294871794557
1466,10.277708333333358
1467,10.326746794871783
1468,11.109423076923086
1469,-9.0675480769230834
1470,-23.802980769230775
1471,-17.118830128205122
1472,-5.2810096153846118
1473,47.991746794871872
1474,63.88996794871796
1475,59.707003205128125
1476,57.556378205128162
1477,49.781057692307634
1478,51.800208333333273
1479,50.93524038461539
1480,42.497371794871846
1481,20.506987179487187
1482,14.230304487179495
1483,8.3041666666666814
1484,5.0938782051281777
1485,-31.919214743589702
1486,-48.300977564102574
1487,-62.117772435897407
1488,-60.230881410256394
1489,-40.824519230769184
1490,-27.75312499999999
1491,20.903894230769254
1492,37.07979166666663
1493,41.557820512820541
1494,36.589615384615385
1495,-13.293685897435893
1496,-35.64346153846153
1497,-49.678301282051322
1498,-44.488092948717949
1499,-8.2628846153846389
1500,2.4853846153846031
1501,0.021907051282035905
1502,-6.2363141025641085
1503,-25.247467948717976
1504,-23.401378205128225
1505,18.557548076923069
1506,36.717804487179478
1507,82.33666666666673
1508,95.764967948717967
1509,103.55118589743593
1510,85.875240384615353
1511,53.038910256410283
1512,48.457147435897426
1513,28.057532051282028
1514,18.596650641025665
1515,15.891939102564116
1516,17.0169871794872
1517,18.303141025641025
1518,14.921923076923047
1519,27.00238782051283
1520,34.688782051282068
1521,25.303830128205128
1522,27.558333333333323
1523,16.313285256410232
1524,11.651217948717948
1525,11.542259615384612
1526,7.1129967948717781
1527,2.2094871794872022
1528,0.701089743589751
1529,7.5400160256410134
1530,15.879150641025628
1531,-1.9511057692307399
1532,-8.0531730769230485
1533,-16.176394230769187
1534,-14.899807692307666
1535,10.386778846153859
1536,24.499374999999976
1537,91.745512820512786
1538,104.39290064102575
1539,103.29261217948707
1540,96.869551282051347
1541,59.170913461538433
1542,34.741458333333284
1543,7.4413942307692507
1544,-5.867355769230767
1545,-35.899743589743579
1546,-56.149278846153855
1547,-73.474823717948681
1548,-67.797964743589759
1549,-57.227612179487195
1550,-50.323092948717935
1551,-16.57403846153845
1552,-6.9596634615384918
1553,25.741298076923119
1554,31.049022435897403
1555,40.047131410256391
1556,36.193044871794811
1557,16.036169871794886
1558,6.6598397435897541
1559,-9.9805769230769172
1560,-10.777147435897456
1561,-11.807692307692323
1562,-12.410977564102566
1563,-0.12181089743588983
1564,-3.0513621794871484
1565,-20.596330128205114
1566,-20.531298076923068
1567,-34.838285256410259
1568,-44.393060897435923
1569,-56.710576923076971
1570,-51.306041666666665
1571,-29.674294871794892
1572,-12.22453525641026
1573,20.748509615384613
1574,18.9952403846154
1575,-7.6697596153846082
1576,-17.138076923076941
1577,-50.002740384615407
1578,-60.6866987179488
1579,-36.99987179487178
1580,-10.727051282051296
1581,40.137788461538449
1582,47.255576923076951
1583,48.991506410256413
1584,50.932371794871784
1585,33.857019230769211
1586,25.224487179487195
1587,-13.485496794871827
1588,-28.814519230769207
1589,-38.989391025641005
1590,-30.406522435897436
1591,13.8119551282051
1592,26.709038461538473
1593,27.088573717948734
1594,25.25346153846154
1595,19.469102564102556
1596,23.324519230769244
1597,13.164695512820519
1598,-4.7730128205128333
1599,-26.5720352564103
1600,-35.925400641025639
1601,-66.243942307692322
1602,-70.680657051282054
1603,-61.69940705128198
1604,-49.5785576923077
1605,-40.164294871794851
1606,-32.21158653846156
1607,-11.44777243589744
1608,-1.9849839743589714
1609,16.774919871794893
1610,21.316410256410311
1611,0.60073717948712824
1612,-9.1352403846153916
1613,-30.042676282051286
1614,-30.00511217948721
1615,-15.377644230769231
1616,-16.802964743589698
1617,-35.324423076923047
1618,-48.432500000000005
1619,-63.064230769230839
